CONTRIBUTOR_NAME,DATE,AMOUNT,CLASS,PRINCIPAL_OFFICER_1,PRINCIPAL_OFFICER_2,PARTY,CONTRIBUTION_TYPE,EVENT_DATE
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-03,400,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-05,300,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-11,200,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-12,200,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-12,300,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-12,625,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-17,1000,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-18,200,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-28,360,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-28,400,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-28,450,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-31,25,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-31,250,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-31,300,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-31,400,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC GOVERNMENT & SERVICE EMPLOYEES' UNION,2012-12-31,1200,4,DARRYL WALKER,STEPHANIE SMITH,BC NDP,,
BC PROFESSIONAL FIRE FIGHTERS ASSOCIATION HQ,2012-06-01,680,4,MIKE HURLEY,MILES RITCHIE,BC NDP,,
BC PROFESSIONAL FIRE FIGHTERS ASSOCIATION HQ,2012-08-09,400,4,MIKE HURLEY,MILES RITCHIE,BC NDP,,
BC PROFESSIONAL FIRE FIGHTERS ASSOCIATION HQ,2012-10-15,3500,4,MIKE HURLEY,MILES RITCHIE,BC NDP,,
BC PROFESSIONAL FIRE FIGHTERS ASSOCIATION HQ,2012-11-28,400,4,MIKE HURLEY,MILES RITCHIE,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 23 BURNABY CIVIC EMPLOYEES' UNION,2012-09-17,1875,4,CAROL SMITH,RICK KOTAR,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 23 BURNABY CIVIC EMPLOYEES' UNION,2012-11-06,500,4,CAROL SMITH,RICK KOTAR,BC NDP,,
BURNABY TEACHERS ASSOCIATION,2012-03-07,680,4,RICHARD STORCH,JAMES SANYSHYN,BC NDP,,
"CAMPBELL RIVER, COURTENAY & DISTRICT LABOUR COUNCIL",2012-10-01,400,4,LESLIE MCNABB,SCOTT DOHERTY,BC NDP,,
"CAMPBELL RIVER, COURTENAY & DISTRICT LABOUR COUNCIL",2012-11-15,400,4,LESLIE MCNABB,SCOTT DOHERTY,BC NDP,,
"CAMPBELL RIVER, COURTENAY & DISTRICT LABOUR COUNCIL",2012-11-16,800,4,LESLIE MCNABB,SCOTT DOHERTY,BC NDP,,
CANADIAN AUTO WORKERS,2012-08-24,1000,4,KEN LEWENZA,PETER KENNEDY,BC NDP,,
CANADIAN AUTO WORKERS,2012-08-28,200,4,KEN LEWENZA,PETER KENNEDY,BC NDP,,
CANADIAN AUTO WORKERS,2012-11-06,1000,4,KEN LEWENZA,PETER KENNEDY,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 111,2012-02-02,5000,4,DON MACLEOD,JIM HOULAHAN,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 111,2012-04-11,5000,4,DON MACLEOD,JIM HOULAHAN,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 111,2012-06-13,1250,4,DON MACLEOD,JIM HOULAHAN,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 111,2012-10-10,500,4,DON MACLEOD,JIM HOULAHAN,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 111,2012-10-15,500,4,DON MACLEOD,JIM HOULAHAN,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 111,2012-11-28,800,4,DON MACLEOD,JIM HOULAHAN,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 111,2012-12-31,400,4,DON MACLEOD,JIM HOULAHAN,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 2200 OFFICERS INDEMNITY TRUST,2012-02-09,2000,4,JOE ELWORTHY,AL FOTERINGHAM,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 3000,2012-09-25,300,4,JEAN VAN VLIET,PARAMJIT BIRAK,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 3000,2012-10-01,200,4,JEAN VAN VLIET,PARAMJIT BIRAK,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 3000,2012-10-10,100,4,JEAN VAN VLIET,PARAMJIT BIRAK,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 3000,2012-12-21,100,4,JEAN VAN VLIET,PARAMJIT BIRAK,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 3000,2012-12-31,100,4,JEAN VAN VLIET,PARAMJIT BIRAK,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 3019,2012-11-16,500,4,BILL GARTON,BRIAN CLARK,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 333,2012-02-28,400,4,BOB JONES,JIM LALIBERTE,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 333,2012-05-28,300,4,BOB JONES,JIM LALIBERTE,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 333,2012-08-10,400,4,BOB JONES,JIM LALIBERTE,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 333,2012-08-15,1000,4,BOB JONES,JIM LALIBERTE,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 333,2012-11-09,150,4,BOB JONES,JIM LALIBERTE,BC NDP,,
CANADIAN AUTO WORKERS LOCAL 333,2012-12-31,450,4,BOB JONES,JIM LALIBERTE,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-03-13,160,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-05-21,130,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-05-25,50,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-06-11,300,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-06-13,500,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-06-18,260,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-06-18,500,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-07-06,200,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-07-11,200,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-07-19,300,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-08-17,500,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-08-20,350,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-09-14,500,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-09-17,200,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-09-20,250,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-09-25,200,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-09-27,180,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-09-27,500,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-10-01,500,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-10-01,500,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-10-15,3500,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN LABOUR CONGRESS PACIFIC REGION,2012-10-31,200,4,AMBER HOCKIN,RON STIPP,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-02-17,500,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-02-17,5000,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-03-07,850,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-03-13,80,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-03-14,75,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-04-03,5000,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-04-10,4750,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-05-16,600,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-05-30,600,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-05-31,500,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-06-13,1250,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-06-27,250,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-08-15,1000,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-08-20,260,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-08-24,1000,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-08-24,1500,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-08-28,500,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-09-11,200,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-09-17,250,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-09-27,200,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-10-01,200,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-10-11,3500,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-10-29,375,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-11-08,500,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-11-09,500,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-11-28,600,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-12-11,675,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN OFFICE & PROFESSIONAL EMPLOYEES UNION LOCAL 378,2012-12-28,550,4,DAVID BLACK,LORI MAYHEW,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-01-25,170,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-03-23,500,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-03-27,500,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-04-20,400,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-04-20,5000,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-04-20,5000,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-05-14,30000,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-05-16,300,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-05-25,250,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-05-28,400,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-05-31,200,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-06-08,300,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-06-18,200,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-06-18,300,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-06-18,520,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-08-15,1000,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-08-17,1500,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-08-24,400,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-08-24,500,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-08-25,1500,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-08-28,200,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-09-11,200,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-09-12,300,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-09-17,500,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-09-17,1000,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-09-17,4000,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-09-20,1000,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-09-27,200,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-10-01,400,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-10-11,3500,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-10-29,250,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-11-09,400,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-12-12,250,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-12-12,100000,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-12-18,200,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-12-20,200,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-12-21,200,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-12-31,300,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES BC DIVISION,2012-12-31,400,4,MARK HANCOCK,PAUL FAORO,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES FRASER VALLEY DISTRICT COUNCIL,2012-05-16,300,4,PAUL ALBRECHT,DARLENE ELL,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES FRASER VALLEY DISTRICT COUNCIL,2012-06-25,25,4,PAUL ALBRECHT,DARLENE ELL,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES FRASER VALLEY DISTRICT COUNCIL,2012-06-27,200,4,PAUL ALBRECHT,DARLENE ELL,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES FRASER VALLEY DISTRICT COUNCIL,2012-07-06,200,4,PAUL ALBRECHT,DARLENE ELL,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES FRASER VALLEY DISTRICT COUNCIL,2012-07-06,400,4,PAUL ALBRECHT,DARLENE ELL,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES FRASER VALLEY DISTRICT COUNCIL,2012-07-13,200,4,PAUL ALBRECHT,DARLENE ELL,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES FRASER VALLEY DISTRICT COUNCIL,2012-12-18,200,4,PAUL ALBRECHT,DARLENE ELL,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES FRASER VALLEY DISTRICT COUNCIL,2012-12-31,250,4,PAUL ALBRECHT,DARLENE ELL,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 1004,2012-02-27,500,4,MIKE JACKSON,FRANK LEE,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 1004,2012-09-27,200,4,MIKE JACKSON,FRANK LEE,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 15,2012-04-02,225,4,LEANNE TODERIAN,BARB DICKINSON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 15,2012-06-08,500,4,LEANNE TODERIAN,BARB DICKINSON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 15,2012-06-18,260,4,LEANNE TODERIAN,BARB DICKINSON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 15,2012-07-20,900,4,LEANNE TODERIAN,BARB DICKINSON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 15,2012-08-17,900,4,LEANNE TODERIAN,BARB DICKINSON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 15,2012-10-01,525,4,LEANNE TODERIAN,BARB DICKINSON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 1936,2012-06-08,150,4,MICHAEL LANIER,SHERYL BURNS,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 1936,2012-09-21,250,4,MICHAEL LANIER,SHERYL BURNS,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 379,2012-03-01,30,4,TERRY ALLEN,LINDA CLEMENTS,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 379,2012-03-01,170,4,TERRY ALLEN,LINDA CLEMENTS,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 379,2012-09-17,500,4,TERRY ALLEN,LINDA CLEMENTS,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 379,2012-10-01,500,4,TERRY ALLEN,LINDA CLEMENTS,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 386,2012-04-10,500,4,KIM WILLIAMS,MIKE CARVER,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 386,2012-06-27,100,4,KIM WILLIAMS,MIKE CARVER,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 389,2012-03-07,300,4,CINDY MCQUEEN,KATHY MCMAHON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 389,2012-07-19,300,4,CINDY MCQUEEN,KATHY MCMAHON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 389,2012-10-02,400,4,CINDY MCQUEEN,KATHY MCMAHON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 389,2012-10-02,1000,4,CINDY MCQUEEN,KATHY MCMAHON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 389,2012-10-15,500,4,CINDY MCQUEEN,KATHY MCMAHON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 389,2012-12-28,1400,4,CINDY MCQUEEN,KATHY MCMAHON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 402,2012-04-26,50,4,LAURIE LARSEN,JEANNIE KILBY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 402,2012-05-28,130,4,LAURIE LARSEN,JEANNIE KILBY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 402,2012-06-18,300,4,LAURIE LARSEN,JEANNIE KILBY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 402,2012-08-30,200,4,LAURIE LARSEN,JEANNIE KILBY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 402,2012-09-12,200,4,LAURIE LARSEN,JEANNIE KILBY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 402,2012-09-26,200,4,LAURIE LARSEN,JEANNIE KILBY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 402,2012-10-23,200,4,LAURIE LARSEN,JEANNIE KILBY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 409,2012-07-09,250,4,MARCEL MARSOLAIS,RALPH LOXTERKAMP,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 409,2012-07-22,198,4,MARCEL MARSOLAIS,RALPH LOXTERKAMP,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 5523,2012-12-31,5000,4,MARK OLSEN,DARREN TOMPKINS,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-02-17,200,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-04-26,200,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-05-21,195,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-06-18,100,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-06-18,300,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-07-26,180,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-09-25,350,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-09-26,200,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-10-23,200,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES LOCAL 728,2012-12-19,200,4,JANICE MEEHAN,GAIL BARRON,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES METRO DISTRICT COUNCIL,2012-03-07,200,4,KEN DAVIDSON,COLIN GRAY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES METRO DISTRICT COUNCIL,2012-04-10,1000,4,KEN DAVIDSON,COLIN GRAY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES METRO DISTRICT COUNCIL,2012-04-20,170,4,KEN DAVIDSON,COLIN GRAY,BC NDP,,
CANADIAN UNION OF PUBLIC EMPLOYEES METRO DISTRICT COUNCIL,2012-05-31,200,4,KEN DAVIDSON,COLIN GRAY,BC NDP,,
